Dynamic Spectral,PulseID,Source,Telescope,Date,Repeater,Receiver,Observing_band,MJD,GL,GB,SNR,DM_SNR,DM_SNR_err,DM_alig,DM_alig_err,Flux_density,Flux_density_err,Width,Width_err,Freq_high,Freq_low,Freq_peak,Fluence,Fluence_err,Energy,Energy_err,Polar_l,Polar_l_err,Polar_c,Polar_c_err,RM_syn,RM_syn_err,RM_QUfit,RM_QUfit_err,Scatt_t,Scatt_t_err,Scin_f,Scin_f_err,Reference
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_13.jpg,13,FRB20121102A,GBT,,Yes,S-band,1730-2600,57345.44769125009,174.89,-0.23,,565.1,+1.8/-1.8,,,0.06,,6.1,+0.57/-0.57,,,,0.4,,,,,,,,,,,,,,,,https://iopscience.iop.org/article/10.3847/1538-4357/833/2/177
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_12.jpg,12,FRB20121102A,GBT,,Yes,S-band,1730-2600,57339.35604600557,174.89,-0.23,,559.9,+3.4/-3.4,,,0.04,,6.73,+1.12/-1.12,,,,0.2,,,,,,,,,,,,,,,,https://iopscience.iop.org/article/10.3847/1538-4357/833/2/177
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_16.jpg,16,FRB20121102A,GBT,,Yes,S-band,1730-2600,57345.462413106565,174.89,-0.23,,560,+3.1/-3.1,,,0.09,,5.97,+0.35/-0.35,,,,0.6,,,,,,,,,,,,,,,,https://iopscience.iop.org/article/10.3847/1538-4357/833/2/177
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_3.jpg,3,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57159.744223619,174.89,-0.23,,566,+5/-5,,,0.03,,3.3,+0.4/-0.4,,,,0.1,,,,,,,,,,,,,,,,https://www.nature.com/articles/nature17168
"",32,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57607.538801058,174.89,-0.23,,560.5,,,,,,1.3,+0.2/-0.2,>1730,1564,,0.1,,9.9E36,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",49,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57614.504828569,174.89,-0.23,,560.5,,,,,,1.4,+0.03/-0.03,>1730,1260,,0.44,,1.7E38,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_4.jpg,4,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57175.693143232,174.89,-0.23,,555,+1/-1,,,0.04,,4.6,+0.3/-0.3,,,,0.2,,,,,,,,,,,,,,,,https://www.nature.com/articles/nature17168
"",33,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57607.556613398,174.89,-0.23,,560.5,,,,,,0.8,+0.2/-0.2,>1730,1602,,0.09,,9.2E36,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_15.jpg,15,FRB20121102A,GBT,,Yes,S-band,1730-2600,57345.45759530381,174.89,-0.23,,,,,,0.02,,4.3,+1.4/-1.4,,,,0.08,,,,,,,,,,,,,,,,https://iopscience.iop.org/article/10.3847/1538-4357/833/2/177
"",41,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57614.493918268,174.89,-0.23,,560.5,,,,,,6,+1/-1,1703,1374,,0.18,,5.1E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_53.jpg,53,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57614.506902116,174.89,-0.23,,560.5,,,,,,2.9,+0.5/-0.5,>1730,1551,,0.21,,2.7E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_6.jpg,6,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57175.742576706,174.89,-0.23,,559,+9/-9,,,0.02,,2.8,+0.4/-0.4,,,,0.06,,,,,,,,,,,,,,,,https://www.nature.com/articles/nature17168
"",56,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57614.507982518,174.89,-0.23,,560.5,,,,,,1.4,+0.1/-0.1,>1730,1412,,0.17,,4.8E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_26.jpg,26,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57607.532581875,174.89,-0.23,,560.5,,,,,,1.1,+0.2/-0.2,>1730,1513,,0.09,,1.5E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",43,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57614.495491159,174.89,-0.23,,560.5,,,,,,3.4,+0.5/-0.5,>1730,1488,,0.15,,2.8E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",38,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57614.485018194,174.89,-0.23,,560.5,,,,,,0.8,+0.2/-0.2,>1730,1564,,0.13,,1.7E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",39,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57614.487302891,174.89,-0.23,,560.5,,,,,,2.7,+0.5/-0.5,>1730,1615,,0.3,,2.5E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",45,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57614.500237581,174.89,-0.23,,560.5,,,,,,1.69,+0.01/-0.01,>1730,<1150,,1.67,,8.7E38,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",46,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57614.50291209,174.89,-0.23,,560.5,,,,,,2.8,+0.4/-0.4,>1730,<1150,,0.15,,7.4E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",61,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57614.512576013,174.89,-0.23,,560.5,,,,,,1.01,+0.07/-0.07,>1730,1589,,0.34,,3.7E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",64,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57614.516194088,174.89,-0.23,,560.5,,,,,,4,+0.9/-0.9,>1730,1577,,0.22,,2.9E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_5.jpg,5,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57175.699727826,174.89,-0.23,,558,+6/-6,,,0.02,,8.7,+1.5/-1.5,,,,0.09,,,,,,,,,,,,,,,,https://www.nature.com/articles/nature17168
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_7.jpg,7,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57175.742839344,174.89,-0.23,,,,,,0.02,,6.1,+1.4/-1.4,,,,0.06,,,,,,,,,,,,,,,,https://www.nature.com/articles/nature17168
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_27.jpg,27,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57607.532581931,174.89,-0.23,,560.5,,,,,,0.8,+0.1/-0.1,>1730,1513,,0.1,,1.6E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",30,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57607.53691676,174.89,-0.23,,560.5,,,,,,1.6,+0.3/-0.3,>1730,1374,,0.08,,2.3E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",37,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57614.484578746,174.89,-0.23,,560.5,,,,,,5.9,+0.7/-0.7,>1730,1285,,0.19,,7.5E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",44,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57614.498991769,174.89,-0.23,,560.5,,,,,,3.1,+0.6/-0.6,>1730,1513,,0.15,,2.7E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
