Source,Telescope,Repeater,RA,RA_err,Dec,Dec_err,GL,GB,DM,DM_ne2001,DM_ymw16,Reference
FRB20171019A,ASKAP,Yes,22:17:30.0,0.17,-08:39:32.0,0.17,52.5,-49.2,460.8,,,https://doi.org/10.1038/s41586-018-0588-y
FRB20190208A,CHIME,Yes,18:54:04.8,0.15,+46:57:36.0,0.22,76.8,18.9,580.05,72,66,"[https://doi.org/10.3847/2041-8213/ab7208, https://www.chime-frb.ca/catalog]"
FRB20181017A,CHIME,Yes,17:05:19.2,0.21,+68:16:48.0,0.22,99.15,34.8,1281.6,43,37,"[https://doi.org/10.3847/2041-8213/ab4a80, https://www.chime-frb.ca/catalog]"
FRB20090625A,Parkes,No,03:07:47.0,,-29:55:36.0,,226.44,-60.03,899.6,32,,https://doi.org/10.1093/mnrasl/slw069
FRB20121102A,Arecibo,Yes,05:31:58.0,0.05,+33:08:04.0,0.05,174.89,-0.23,557.4,188,,https://iopscience.iop.org/article/10.1088/0004-637X/790/2/101
FRB20130626A,Parkes,No,16:27:06.0,,-07:27:48.0,,7.45,27.42,952.4,67,,https://doi.org/10.1093/mnrasl/slw069
FRB20151125A,Pushchino,No,01:31:00.0,,+30:58:48.0,,133.02,-31.1,273,50.2,,https://doi.org/10.1134/S1063772919110039
FRB20160317A,UTMOST,No,07:53:47.0,6.8e-4,-29:36:31.0,1.4,246.05,-0.99,1165,319.6,394.6,https://doi.org/10.1093/mnras/stx638
FRB20180916B,CHIME,Yes,01:58:00.8,0.12,+65:43:00.3,0.18,129.71,3.73,349,200,325,"[https://doi.org/10.3847/2041-8213/ab4a80, https://www.chime-frb.ca/catalog]"
FRB20010305A,Parkes,No,04:57:19.5,,-52:36:24.7,,260.06,-38.34,350,,36,https://doi.org/10.3847/1538-4365/ab95a4
FRB20110220A,Parkes,No,22:34:00.0,,-12:24:00.0,,50.69,-54.63,944.38,34.77,,https://doi.org/10.1126/science.1236789
FRB20110523A,GBT,No,21:45:12.0,0.13,-00:09:37.0,0.13,56.12,-37.82,623,45,,https://doi.org/10.1038/nature15769
