Non-Repeater,Repeater,Score
FRB20150418A,FRB20190520B,6.012009143829346
FRB20150418A,FRB20190520B,6.8449225425720215
FRB20150418A,FRB20190520B,7.522446632385254
FRB20150418A,FRB20190520B,7.639340400695801
FRB20150418A,FRB20190520B,7.700511932373047
FRB20190112A,FRB20191106C,0.6023472547531128
FRB20190112A,FRB20191106C,0.7598309516906738
FRB20190112A,FRB20190328C,1.0275206565856934
FRB20190112A,FRB20190915D,1.095625877380371
FRB20200917A,FRB20200926A,0.26498037576675415
FRB20200917A,FRB20190127B,0.3846064507961273
FRB20200917A,FRB20190208A,0.49378496408462524
FRB20200917A,FRB20200926A,0.6071768403053284
FRB20200917A,FRB20181201D,0.6440083980560303
FRB20200125A,FRB20180814A,0.08460671454668045
FRB20200125A,FRB20180814A,0.08501370996236801
FRB20200125A,FRB20180814A,0.09599211066961288
FRB20200125A,FRB20200223B,0.10528793931007385
FRB20200125A,FRB20220912A,0.12336523085832596
