Non-Repeater,Repeater,Score
FRB20180309A,FRB20240114A,3.3331048488616943
FRB20150418A,FRB20190520B,5.995559215545654
FRB20150418A,FRB20190520B,6.845742225646973
FRB20150418A,FRB20190520B,7.493763446807861
FRB20150418A,FRB20190520B,7.554004192352295
FRB20150418A,FRB20190520B,7.655813217163086
FRB20190112A,FRB20191106C,0.7078325748443604
FRB20190112A,FRB20190328C,1.0384842157363892
FRB20190112A,FRB20191106C,1.04877769947052
FRB20190112A,FRB20190915D,1.3129608631134033
FRB20200917A,FRB20200926A,0.36570242047309875
FRB20200917A,FRB20190127B,0.5159010887145996
FRB20200917A,FRB20190208A,0.5528517961502075
FRB20200917A,FRB20181128A,0.7047668099403381
FRB20200917A,FRB20181128A,0.71597820520401
FRB20200125A,FRB20180814A,0.09047343581914902
FRB20200125A,FRB20180814A,0.09395656734704971
FRB20200125A,FRB20180814A,0.124394990503788
FRB20200125A,FRB20200223B,0.1251230686903
FRB20200125A,FRB20190303A,0.14003616571426392
