Non-Repeater,Repeater,Score
FRB20150418A,FRB20190520B,5.595754146575928
FRB20150418A,FRB20190520B,6.350030899047852
FRB20150418A,FRB20190520B,6.943473815917969
FRB20150418A,FRB20190520B,6.984182357788086
FRB20150418A,FRB20190520B,7.108330249786377
FRB20190112A,FRB20191106C,0.5903874635696411
FRB20190112A,FRB20191106C,1.0090312957763672
FRB20190112A,FRB20190915D,1.2030225992202759
FRB20190112A,FRB20191106C,1.3669296503067017
FRB20200917A,FRB20200926A,0.23921725153923035
FRB20200917A,FRB20190127B,0.3272572457790375
FRB20200917A,FRB20181201D,0.485724538564682
FRB20200917A,FRB20190208A,0.5667499303817749
FRB20200917A,FRB20180301A,0.6161966919898987
FRB20200125A,FRB20190303A,0.2073449045419693
FRB20200125A,FRB20180908B,0.2305534929037094
FRB20200125A,FRB20180814A,0.2743130326271057
FRB20200125A,FRB20180814A,0.28311264514923096
FRB20200125A,FRB20210323C,0.3134543001651764
