Non-Repeater,Repeater,Score
FRB20180309A,FRB20201124A,5.729917526245117
FRB20150418A,FRB20220912A,2.269888401031494
FRB20150418A,FRB20190520B,5.403636932373047
FRB20150418A,FRB20190520B,6.2603535652160645
FRB20150418A,FRB20190520B,6.924124717712402
FRB20150418A,FRB20190520B,7.050097465515137
FRB20190112A,FRB20191106C,0.7749613523483276
FRB20190112A,FRB20191106C,0.9203267097473145
FRB20190112A,FRB20190915D,0.9938871264457703
FRB20190112A,FRB20190915D,1.2988967895507812
FRB20200917A,FRB20200926A,0.35278481245040894
FRB20200917A,FRB20190127B,0.5312445759773254
FRB20200917A,FRB20190208A,0.6160902976989746
FRB20200917A,FRB20190117A,0.7715137004852295
FRB20200917A,FRB20190209A,0.8083696961402893
FRB20200125A,FRB20180814A,0.07348241657018661
FRB20200125A,FRB20180814A,0.07450564950704575
FRB20200125A,FRB20180814A,0.08885765075683594
FRB20200125A,FRB20200223B,0.10260747373104095
FRB20200125A,FRB20180908B,0.10787883400917053
