Non-Repeater,Repeater,Score
FRB20180309A,FRB20190328C,6.287865161895752
FRB20150418A,FRB20190520B,6.8871355056762695
FRB20150418A,FRB20190520B,7.876850605010986
FRB20150418A,FRB20190520B,8.694960594177246
FRB20150418A,FRB20190520B,8.797837257385254
FRB20150418A,FRB20190520B,8.920086860656738
FRB20190112A,FRB20191106C,1.0118011236190796
FRB20190112A,FRB20191106C,1.1614186763763428
FRB20190112A,FRB20190328C,1.1778886318206787
FRB20190112A,FRB20190915D,1.5051472187042236
FRB20200917A,FRB20200926A,0.3834255635738373
FRB20200917A,FRB20190127B,0.5998989343643188
FRB20200917A,FRB20190208A,0.6656497716903687
FRB20200917A,FRB20181128A,0.8747330904006958
FRB20200917A,FRB20181128A,0.8842836618423462
FRB20200125A,FRB20180814A,0.15366123616695404
FRB20200125A,FRB20180814A,0.15433895587921143
FRB20200125A,FRB20200223B,0.16706804931163788
FRB20200125A,FRB20180814A,0.16894219815731049
FRB20200125A,FRB20220912A,0.1744488626718521
