Non-Repeater,Repeater,Score
FRB20180309A,FRB20201124A,3.089994192123413
FRB20180309A,FRB20220912A,4.010769844055176
FRB20180309A,FRB20240114A,4.045734882354736
FRB20150418A,FRB20190520B,2.414005994796753
FRB20150418A,FRB20190520B,2.5959184169769287
FRB20150418A,FRB20190520B,2.709263563156128
FRB20150418A,FRB20190520B,2.7108116149902344
FRB20150418A,FRB20190520B,2.742802143096924
FRB20210408H,FRB20190520B,1.1240988969802856
FRB20210408H,FRB20190520B,1.1401350498199463
FRB20210408H,FRB20190520B,1.1730711460113525
FRB20210408H,FRB20190520B,1.1860220432281494
FRB20190112A,FRB20191106C,0.723733127117157
FRB20190112A,FRB20191106C,0.9373691082000732
FRB20190112A,FRB20190609C,1.1646897792816162
FRB20200917A,FRB20200926A,0.3849988579750061
FRB20200917A,FRB20190127B,0.560926616191864
FRB20200917A,FRB20190208A,0.579800546169281
FRB20200917A,FRB20190711A,0.6067656874656677
FRB20200917A,FRB20180301A,0.6829419732093811
FRB20200125A,FRB20180814A,0.1258762925863266
FRB20200125A,FRB20180814A,0.1326238363981247
FRB20200125A,FRB20190303A,0.13797785341739655
FRB20200125A,FRB20190303A,0.17077603936195374
FRB20200125A,FRB20190303A,0.17077603936195374
