Non-Repeater,Repeater,Score
FRB20180309A,FRB20240114A,3.4293928146362305
FRB20180309A,FRB20180916B,3.970287799835205
FRB20180309A,FRB20220912A,4.015772819519043
FRB20180309A,FRB20190212A,4.048929214477539
FRB20150418A,FRB20201124A,1.8122221231460571
FRB20150418A,FRB20190520B,2.1303348541259766
FRB20150418A,FRB20190520B,2.343132972717285
FRB20150418A,FRB20190520B,2.52345871925354
FRB20150418A,FRB20190520B,2.5561258792877197
FRB20210408H,FRB20200809E,0.9820072054862976
FRB20210408H,FRB20181017A,1.159541368484497
FRB20190112A,FRB20191106C,0.9447632431983948
FRB20190112A,FRB20191106C,1.0134031772613525
FRB20190112A,FRB20190915D,1.1815487146377563
FRB20190112A,FRB20191106C,1.1928340196609497
FRB20200917A,FRB20200926A,0.2960658669471741
FRB20200917A,FRB20190127B,0.4356108605861664
FRB20200917A,FRB20190208A,0.7417290210723877
FRB20200917A,FRB20181017A,0.8173493146896362
FRB20200917A,FRB20181201D,0.8359169960021973
FRB20200125A,FRB20180814A,0.24006247520446777
FRB20200125A,FRB20180814A,0.24821670353412628
FRB20200125A,FRB20190303A,0.28186383843421936
FRB20200125A,FRB20180908B,0.2925139367580414
FRB20200125A,FRB20200223B,0.29851385951042175
