Non-Repeater,Repeater,Score
FRB20180309A,FRB20240114A,3.430989980697632
FRB20150418A,FRB20190520B,3.680962085723877
FRB20150418A,FRB20190520B,4.167823791503906
FRB20150418A,FRB20190520B,4.5715651512146
FRB20150418A,FRB20190520B,4.641403675079346
FRB20150418A,FRB20190520B,4.651639938354492
FRB20190112A,FRB20191106C,0.7048118710517883
FRB20190112A,FRB20191106C,0.8915634751319885
FRB20190112A,FRB20191106C,1.1155389547348022
FRB20190112A,FRB20190915D,1.1928400993347168
FRB20200917A,FRB20200926A,0.28194138407707214
FRB20200917A,FRB20190127B,0.42184916138648987
FRB20200917A,FRB20190208A,0.6147462129592896
FRB20200917A,FRB20200926A,0.7758904695510864
FRB20200917A,FRB20181201D,0.7954245209693909
FRB20200125A,FRB20180814A,0.08941728621721268
FRB20200125A,FRB20180814A,0.09029556810855865
FRB20200125A,FRB20180908B,0.1037173792719841
FRB20200125A,FRB20180814A,0.1046191081404686
FRB20200125A,FRB20200223B,0.11114304512739182
