Non-Repeater,Repeater,Score
FRB20180309A,FRB20240114A,4.078800678253174
FRB20150418A,FRB20201124A,1.6544432640075684
FRB20150418A,FRB20190520B,4.786767482757568
FRB20150418A,FRB20220912A,5.2933855056762695
FRB20150418A,FRB20190520B,5.298777103424072
FRB20150418A,FRB20190520B,5.709730625152588
FRB20190112A,FRB20191106C,0.6571394205093384
FRB20190112A,FRB20191106C,0.7210787534713745
FRB20190112A,FRB20190915D,1.013088345527649
FRB20190112A,FRB20190915D,1.0827125310897827
FRB20200917A,FRB20200926A,0.33986419439315796
FRB20200917A,FRB20190127B,0.5144498944282532
FRB20200917A,FRB20190208A,0.7408738136291504
FRB20200917A,FRB20181017A,0.9270920753479004
FRB20200917A,FRB20181201D,0.9407222270965576
FRB20200125A,FRB20180814A,0.13910011947155
FRB20200125A,FRB20180814A,0.14126311242580414
FRB20200125A,FRB20180814A,0.15547116100788116
FRB20200125A,FRB20190303A,0.16261816024780273
FRB20200125A,FRB20200223B,0.180778369307518
