Non-Repeater,Repeater,Score
FRB20180309A,FRB20240114A,2.1944825649261475
FRB20180309A,FRB20201124A,3.058466672897339
FRB20150418A,FRB20121102A,1.991743803024292
FRB20150418A,FRB20220912A,3.1797678470611572
FRB20150418A,FRB20201124A,4.263298988342285
FRB20150418A,FRB20190520B,5.309657096862793
FRB20150418A,FRB20190520B,5.824704170227051
FRB20190112A,FRB20191106C,0.7615851759910583
FRB20190112A,FRB20191106C,0.8682690858840942
FRB20190112A,FRB20190915D,0.9070164561271667
FRB20190112A,FRB20191106C,1.0536025762557983
FRB20200917A,FRB20200926A,0.31130874156951904
FRB20200917A,FRB20190127B,0.4611778259277344
FRB20200917A,FRB20190208A,0.4982229471206665
FRB20200917A,FRB20181128A,0.6134812831878662
FRB20200917A,FRB20181128A,0.6239743828773499
FRB20200125A,FRB20180908B,0.14409790933132172
FRB20200125A,FRB20180814A,0.14464399218559265
FRB20200125A,FRB20180814A,0.14541961252689362
FRB20200125A,FRB20180814A,0.14569298923015594
FRB20200125A,FRB20190303A,0.15128448605537415
