Non-Repeater,Repeater,Score
FRB20180309A,FRB20240114A,3.834869623184204
FRB20150418A,FRB20201124A,4.927568435668945
FRB20150418A,FRB20190520B,6.18930721282959
FRB20150418A,FRB20190520B,7.043938159942627
FRB20150418A,FRB20190520B,7.73655366897583
FRB20150418A,FRB20190520B,7.804797649383545
FRB20190112A,FRB20191106C,0.5727075338363647
FRB20190112A,FRB20190915D,0.9639775156974792
FRB20190112A,FRB20191106C,1.000411868095398
FRB20190112A,FRB20190915D,1.2388745546340942
FRB20200917A,FRB20200926A,0.3568628132343292
FRB20200917A,FRB20190127B,0.5236362218856812
FRB20200917A,FRB20190208A,0.6811544299125671
FRB20200917A,FRB20190117A,0.8277401924133301
FRB20200917A,FRB20190209A,0.887159526348114
FRB20200125A,FRB20180814A,0.08257298171520233
FRB20200125A,FRB20180814A,0.08857645094394684
FRB20200125A,FRB20200223B,0.0892166867852211
FRB20200125A,FRB20180814A,0.09044358134269714
FRB20200125A,FRB20180908B,0.1079707220196724
