Non-Repeater,Repeater,Score
FRB20180309A,FRB20240114A,3.73477840423584
FRB20150418A,FRB20190520B,2.054290771484375
FRB20150418A,FRB20190520B,2.143301010131836
FRB20150418A,FRB20190520B,2.144843101501465
FRB20150418A,FRB20190520B,2.193819761276245
FRB20150418A,FRB20190520B,2.2276668548583984
FRB20210408H,FRB20200809E,1.0035080909729004
FRB20190112A,FRB20191106C,0.7921079397201538
FRB20190112A,FRB20190328C,0.9720999598503113
FRB20190112A,FRB20190915D,1.0541976690292358
FRB20190112A,FRB20191106C,1.1790516376495361
FRB20200917A,FRB20200926A,0.29606345295906067
FRB20200917A,FRB20190127B,0.43070170283317566
FRB20200917A,FRB20190208A,0.540615439414978
FRB20200917A,FRB20200926A,0.7380502223968506
FRB20200917A,FRB20181128A,0.7538667321205139
FRB20200125A,FRB20180814A,0.10929448902606964
FRB20200125A,FRB20200223B,0.11395062506198883
FRB20200125A,FRB20180814A,0.12191295623779297
FRB20200125A,FRB20180814A,0.1250315010547638
FRB20200125A,FRB20190303A,0.13601739704608917
