Non-Repeater,Repeater,Score
FRB20180309A,FRB20201124A,4.55618953704834
FRB20180309A,FRB20191106C,4.684349060058594
FRB20180309A,FRB20190328C,4.817182540893555
FRB20180309A,FRB20191106C,4.855780124664307
FRB20180309A,FRB20190915D,4.904946804046631
FRB20150418A,FRB20190520B,4.41037130355835
FRB20150418A,FRB20190520B,4.884919166564941
FRB20150418A,FRB20190520B,5.297229766845703
FRB20150418A,FRB20190520B,5.335251808166504
FRB20150418A,FRB20190520B,5.430169582366943
FRB20190112A,FRB20191106C,0.6845085620880127
FRB20190112A,FRB20191106C,0.830268383026123
FRB20190112A,FRB20190328C,1.0543746948242188
FRB20190112A,FRB20190915D,1.056227207183838
FRB20200917A,FRB20200926A,0.38019245862960815
FRB20200917A,FRB20190127B,0.564462423324585
FRB20200917A,FRB20190208A,0.6880949139595032
FRB20200917A,FRB20200926A,0.8608461618423462
FRB20200917A,FRB20181201D,0.8636250495910645
FRB20200125A,FRB20190303A,0.1345207244157791
FRB20200125A,FRB20180814A,0.14929156005382538
FRB20200125A,FRB20180814A,0.14968782663345337
FRB20200125A,FRB20180908B,0.1526159793138504
FRB20200125A,FRB20180814A,0.15746518969535828
