Non-Repeater,Repeater,Score
FRB20180309A,FRB20240114A,3.04374361038208
FRB20150418A,FRB20220912A,3.477142333984375
FRB20150418A,FRB20201124A,7.402210235595703
FRB20150418A,FRB20190520B,7.455362796783447
FRB20150418A,FRB20190520B,8.46733283996582
FRB20150418A,FRB20121102A,8.940034866333008
FRB20190112A,FRB20191106C,0.686062216758728
FRB20190112A,FRB20191106C,0.9237862825393677
FRB20190112A,FRB20190915D,1.1098525524139404
FRB20190112A,FRB20191106C,1.25115168094635
FRB20200917A,FRB20200926A,0.2868112325668335
FRB20200917A,FRB20190127B,0.4222516417503357
FRB20200917A,FRB20181201D,0.7062414288520813
FRB20200917A,FRB20190208A,0.7439571022987366
FRB20200917A,FRB20181017A,0.8794500827789307
FRB20200125A,FRB20180814A,0.1258644014596939
FRB20200125A,FRB20180814A,0.1291833370923996
FRB20200125A,FRB20200223B,0.1553354561328888
FRB20200125A,FRB20190303A,0.1588897556066513
FRB20200125A,FRB20190303A,0.15992693603038788
