Non-Repeater,Repeater,Score
FRB20180309A,FRB20240114A,3.4735844135284424
FRB20180309A,FRB20191106C,5.043149948120117
FRB20180309A,FRB20190328C,5.105552673339844
FRB20180309A,FRB20240114A,5.179714202880859
FRB20150418A,FRB20190520B,6.9201202392578125
FRB20150418A,FRB20190520B,7.891932487487793
FRB20150418A,FRB20190520B,8.674324035644531
FRB20150418A,FRB20190520B,8.745906829833984
FRB20150418A,FRB20190520B,8.91613483428955
FRB20190112A,FRB20191106C,0.7359066009521484
FRB20190112A,FRB20191106C,0.7373777031898499
FRB20190112A,FRB20191106C,1.1006661653518677
FRB20190112A,FRB20190915D,1.240301489830017
FRB20200917A,FRB20200926A,0.366838663816452
FRB20200917A,FRB20190208A,0.48166215419769287
FRB20200917A,FRB20190127B,0.5112075805664062
FRB20200917A,FRB20190117A,0.6572034358978271
FRB20200917A,FRB20181128A,0.6674523949623108
FRB20200125A,FRB20180814A,0.09488346427679062
FRB20200125A,FRB20180814A,0.09538120031356812
FRB20200125A,FRB20180814A,0.10527436435222626
FRB20200125A,FRB20200223B,0.10619373619556427
FRB20200125A,FRB20190303A,0.11451967805624008
