Non-Repeater,Repeater,Score
FRB20180309A,FRB20201124A,2.118220567703247
FRB20150418A,FRB20190520B,6.203114032745361
FRB20150418A,FRB20190520B,7.030240058898926
FRB20150418A,FRB20190520B,7.629621982574463
FRB20150418A,FRB20190520B,7.688761234283447
FRB20150418A,FRB20190520B,7.823061943054199
FRB20190112A,FRB20191106C,0.6116037964820862
FRB20190112A,FRB20191106C,0.7620630860328674
FRB20190112A,FRB20190915D,1.0639829635620117
FRB20190112A,FRB20190915D,1.1162149906158447
FRB20200917A,FRB20200926A,0.371376633644104
FRB20200917A,FRB20200926A,0.5417342185974121
FRB20200917A,FRB20190127B,0.5552454590797424
FRB20200917A,FRB20190208A,0.6267651915550232
FRB20200125A,FRB20180814A,0.167884960770607
FRB20200125A,FRB20180814A,0.16897417604923248
FRB20200125A,FRB20180814A,0.17653435468673706
FRB20200125A,FRB20190303A,0.192766934633255
FRB20200125A,FRB20200223B,0.19977842271327972
