Non-Repeater,Repeater,Score
FRB20180309A,FRB20220912A,2.9053516387939453
FRB20180309A,FRB20240114A,4.782038688659668
FRB20150418A,FRB20201124A,2.6732001304626465
FRB20150418A,FRB20190520B,5.001004695892334
FRB20150418A,FRB20190520B,5.637469291687012
FRB20150418A,FRB20190520B,6.162071704864502
FRB20150418A,FRB20190520B,6.207581043243408
FRB20190112A,FRB20190915D,0.9038470983505249
FRB20190112A,FRB20191106C,1.0050493478775024
FRB20190112A,FRB20190915D,1.1096291542053223
FRB20190112A,FRB20191106C,1.1746894121170044
FRB20200917A,FRB20200926A,0.3069608509540558
FRB20200917A,FRB20190127B,0.4511978030204773
FRB20200917A,FRB20190208A,0.6294982433319092
FRB20200917A,FRB20200926A,0.7036293745040894
FRB20200917A,FRB20181201D,0.7449630498886108
FRB20200125A,FRB20180814A,0.13551120460033417
FRB20200125A,FRB20180814A,0.14052291214466095
FRB20200125A,FRB20200223B,0.18088507652282715
FRB20200125A,FRB20180814A,0.18116988241672516
FRB20200125A,FRB20190303A,0.20456427335739136
