Non-Repeater,Repeater,Score
FRB20150418A,FRB20220912A,3.3773045539855957
FRB20150418A,FRB20190520B,5.360110759735107
FRB20150418A,FRB20190520B,6.104337692260742
FRB20150418A,FRB20190520B,6.700472831726074
FRB20150418A,FRB20190520B,6.745720386505127
FRB20210408H,FRB20181017A,0.5909357666969299
FRB20210408H,FRB20200809E,1.0153803825378418
FRB20190112A,FRB20191106C,0.7935243844985962
FRB20190112A,FRB20191106C,1.1149457693099976
FRB20190112A,FRB20190915D,1.15086030960083
FRB20190112A,FRB20190328C,1.1887682676315308
FRB20200917A,FRB20200926A,0.31774213910102844
FRB20200917A,FRB20190127B,0.47060832381248474
FRB20200917A,FRB20190711A,0.8246766924858093
FRB20200125A,FRB20180814A,0.03700144588947296
FRB20200125A,FRB20180814A,0.0456479974091053
FRB20200125A,FRB20180814A,0.09996099025011063
FRB20200125A,FRB20200223B,0.11900066584348679
FRB20200125A,FRB20200120E,0.15017786622047424
