Non-Repeater,Repeater,Score
FRB20180309A,FRB20180301A,3.9645795822143555
FRB20150418A,FRB20190520B,3.250882148742676
FRB20150418A,FRB20190520B,3.571631669998169
FRB20150418A,FRB20190520B,3.786487102508545
FRB20150418A,FRB20190520B,3.79296612739563
FRB20150418A,FRB20190520B,3.8334827423095703
FRB20190112A,FRB20191106C,0.662741482257843
FRB20190112A,FRB20191106C,1.0207322835922241
FRB20190112A,FRB20190915D,1.284862756729126
FRB20200917A,FRB20200926A,0.3542162775993347
FRB20200917A,FRB20190127B,0.49597975611686707
FRB20200917A,FRB20190208A,0.5331653952598572
FRB20200917A,FRB20181128A,0.6906191110610962
FRB20200917A,FRB20181128A,0.7080368995666504
FRB20200125A,FRB20180814A,0.1541852205991745
FRB20200125A,FRB20180814A,0.15777277946472168
FRB20200125A,FRB20190303A,0.17393499612808228
FRB20200125A,FRB20200223B,0.18193738162517548
FRB20200125A,FRB20190303A,0.18840722739696503
