Non-Repeater,Repeater,Score
FRB20150418A,FRB20220912A,3.4290664196014404
FRB20150418A,FRB20190520B,5.505495071411133
FRB20150418A,FRB20190520B,6.261679649353027
FRB20150418A,FRB20190520B,6.863833427429199
FRB20150418A,FRB20190520B,6.948155879974365
FRB20190112A,FRB20191106C,0.8397091627120972
FRB20190112A,FRB20191106C,0.9395771622657776
FRB20190112A,FRB20191106C,1.049028992652893
FRB20190112A,FRB20190915D,1.0769518613815308
FRB20200917A,FRB20200926A,0.41221439838409424
FRB20200917A,FRB20190208A,0.5228540301322937
FRB20200917A,FRB20190127B,0.5955052971839905
FRB20200917A,FRB20181128A,0.7125656008720398
FRB20200917A,FRB20181128A,0.7268741130828857
FRB20200125A,FRB20190303A,0.19727136194705963
FRB20200125A,FRB20180908B,0.19818530976772308
FRB20200125A,FRB20180814A,0.2129547894001007
FRB20200125A,FRB20180814A,0.22026756405830383
FRB20200125A,FRB20180814A,0.27838534116744995
