Non-Repeater,Repeater,Score
FRB20180309A,FRB20240114A,3.696613073348999
FRB20150418A,FRB20190520B,4.177159786224365
FRB20150418A,FRB20190520B,4.822211742401123
FRB20150418A,FRB20121102A,4.8430280685424805
FRB20150418A,FRB20190520B,5.341132164001465
FRB20150418A,FRB20190520B,5.398744106292725
FRB20190112A,FRB20191106C,0.7008787393569946
FRB20190112A,FRB20191106C,0.9345538020133972
FRB20190112A,FRB20190328C,1.11843740940094
FRB20190112A,FRB20190915D,1.124286413192749
FRB20200917A,FRB20200926A,0.387284517288208
FRB20200917A,FRB20190127B,0.5532128214836121
FRB20200917A,FRB20190208A,0.7294259667396545
FRB20200917A,FRB20200926A,0.8508216142654419
FRB20200917A,FRB20181201D,0.8924163579940796
FRB20200125A,FRB20180814A,0.10148132592439651
FRB20200125A,FRB20180814A,0.1067255437374115
FRB20200125A,FRB20180814A,0.1455591320991516
FRB20200125A,FRB20200223B,0.151528462767601
FRB20200125A,FRB20190303A,0.16337379813194275
