Non-Repeater,Repeater,Score
FRB20180309A,FRB20191106C,5.515768527984619
FRB20180309A,FRB20191106C,5.683485984802246
FRB20180309A,FRB20190303A,5.704998970031738
FRB20150418A,FRB20190520B,6.455329418182373
FRB20150418A,FRB20190520B,7.140058994293213
FRB20150418A,FRB20190520B,7.6746439933776855
FRB20150418A,FRB20190520B,7.716394424438477
FRB20150418A,FRB20190520B,7.860235691070557
FRB20190112A,FRB20191106C,0.680954098701477
FRB20190112A,FRB20191106C,1.0508294105529785
FRB20190112A,FRB20190328C,1.0918933153152466
FRB20190112A,FRB20190915D,1.1781169176101685
FRB20200917A,FRB20200926A,0.3592330515384674
FRB20200917A,FRB20190127B,0.5095943808555603
FRB20200917A,FRB20190208A,0.6555429100990295
FRB20200917A,FRB20181201D,0.8349754810333252
FRB20200917A,FRB20181128A,0.9057654738426208
FRB20200125A,FRB20180814A,0.07514183223247528
FRB20200125A,FRB20180814A,0.07727698236703873
FRB20200125A,FRB20180814A,0.1034814789891243
FRB20200125A,FRB20200223B,0.11992049217224121
FRB20200125A,FRB20190303A,0.15232479572296143
