Non-Repeater,Repeater,Score
FRB20180309A,FRB20240114A,5.548238277435303
FRB20180309A,FRB20190303A,5.59030818939209
FRB20180309A,FRB20190212A,5.673298358917236
FRB20150418A,FRB20190520B,7.111148834228516
FRB20150418A,FRB20190520B,8.110340118408203
FRB20150418A,FRB20190520B,8.887134552001953
FRB20150418A,FRB20190520B,8.982233047485352
FRB20150418A,FRB20190520B,9.073505401611328
FRB20190112A,FRB20191106C,0.6743167638778687
FRB20190112A,FRB20190328C,0.9970049858093262
FRB20190112A,FRB20191106C,1.0299808979034424
FRB20190112A,FRB20180814A,1.3946555852890015
FRB20200917A,FRB20200926A,0.30744001269340515
FRB20200917A,FRB20190127B,0.4491041898727417
FRB20200917A,FRB20190208A,0.5507772564888
FRB20200917A,FRB20190117A,0.7677909135818481
FRB20200917A,FRB20181128A,0.7770755887031555
FRB20200125A,FRB20180908B,0.1690717339515686
FRB20200125A,FRB20190303A,0.1844595968723297
FRB20200125A,FRB20220912A,0.20012414455413818
FRB20200125A,FRB20180814A,0.20089200139045715
FRB20200125A,FRB20180814A,0.20537447929382324
