Non-Repeater,Repeater,Score
FRB20150418A,FRB20220912A,5.520031929016113
FRB20150418A,FRB20190520B,5.975925922393799
FRB20150418A,FRB20190520B,6.6988630294799805
FRB20150418A,FRB20190520B,7.254841327667236
FRB20150418A,FRB20190520B,7.311005592346191
FRB20190112A,FRB20191106C,0.7630923390388489
FRB20190112A,FRB20191106C,1.1950498819351196
FRB20190112A,FRB20190915D,1.303597092628479
FRB20190112A,FRB20190915D,1.3510035276412964
FRB20200917A,FRB20200926A,0.38965028524398804
FRB20200917A,FRB20190127B,0.5826405882835388
FRB20200917A,FRB20190208A,0.7505473494529724
FRB20200917A,FRB20200926A,0.9534400105476379
FRB20200917A,FRB20181128A,0.9605181217193604
FRB20200125A,FRB20180814A,0.09970862418413162
FRB20200125A,FRB20180814A,0.10339462757110596
FRB20200125A,FRB20200223B,0.13075515627861023
FRB20200125A,FRB20180814A,0.14100204408168793
FRB20200125A,FRB20190303A,0.14114761352539062
