Non-Repeater,Repeater,Score
FRB20180309A,FRB20201124A,4.595005989074707
FRB20150418A,FRB20190520B,6.501018524169922
FRB20150418A,FRB20190520B,7.384566307067871
FRB20150418A,FRB20190520B,8.087557792663574
FRB20150418A,FRB20220912A,8.104878425598145
FRB20150418A,FRB20190520B,8.174734115600586
FRB20190112A,FRB20191106C,0.8393506407737732
FRB20190112A,FRB20191106C,0.8977007269859314
FRB20190112A,FRB20190915D,1.1577000617980957
FRB20190112A,FRB20190915D,1.227756142616272
FRB20200917A,FRB20200926A,0.3719250559806824
FRB20200917A,FRB20190127B,0.5331970453262329
FRB20200917A,FRB20190208A,0.7349088191986084
FRB20200917A,FRB20190711A,0.8491496443748474
FRB20200917A,FRB20190117A,0.8510749340057373
FRB20200125A,FRB20180814A,0.1156359389424324
FRB20200125A,FRB20180814A,0.11730720102787018
FRB20200125A,FRB20200223B,0.12942759692668915
FRB20200125A,FRB20180814A,0.13634835183620453
FRB20200125A,FRB20190303A,0.14052729308605194
