Non-Repeater,Repeater,Score
FRB20180309A,FRB20190520B,4.778899669647217
FRB20150418A,FRB20190520B,6.91510009765625
FRB20150418A,FRB20190520B,7.873298168182373
FRB20150418A,FRB20190520B,8.688236236572266
FRB20150418A,FRB20190520B,8.805882453918457
FRB20150418A,FRB20190520B,8.909631729125977
FRB20190112A,FRB20191106C,0.7250694036483765
FRB20190112A,FRB20190915D,0.7586939334869385
FRB20190112A,FRB20191106C,1.0459768772125244
FRB20190112A,FRB20190915D,1.2387523651123047
FRB20200917A,FRB20200926A,0.4004492163658142
FRB20200917A,FRB20190127B,0.5658326745033264
FRB20200917A,FRB20200926A,0.6514137387275696
FRB20200917A,FRB20190208A,0.6666211485862732
FRB20200125A,FRB20180814A,0.08751747012138367
FRB20200125A,FRB20180814A,0.09473895281553268
FRB20200125A,FRB20180908B,0.1283484250307083
FRB20200125A,FRB20190303A,0.13778787851333618
FRB20200125A,FRB20180814A,0.159183070063591
