Non-Repeater,Repeater,Score
FRB20150418A,FRB20190520B,3.988823175430298
FRB20150418A,FRB20220912A,4.110861778259277
FRB20150418A,FRB20190520B,4.461956024169922
FRB20150418A,FRB20190520B,4.8005547523498535
FRB20150418A,FRB20190520B,4.8639631271362305
FRB20190112A,FRB20191106C,0.49265599250793457
FRB20190112A,FRB20191106C,0.7998395562171936
FRB20190112A,FRB20190915D,0.9477405548095703
FRB20190112A,FRB20190328C,1.3415180444717407
FRB20200917A,FRB20200926A,0.3439766466617584
FRB20200917A,FRB20190127B,0.49280309677124023
FRB20200917A,FRB20190208A,0.7163180708885193
FRB20200917A,FRB20181201D,0.8070979118347168
FRB20200917A,FRB20190117A,0.8504724502563477
FRB20200125A,FRB20200223B,0.1429380625486374
FRB20200125A,FRB20180814A,0.14573612809181213
FRB20200125A,FRB20180814A,0.15030954778194427
FRB20200125A,FRB20180814A,0.15173359215259552
FRB20200125A,FRB20190303A,0.15794844925403595
