Non-Repeater,Repeater,Score
FRB20180309A,FRB20201124A,4.264373302459717
FRB20180309A,FRB20220912A,4.524853229522705
FRB20150418A,FRB20190520B,6.268298149108887
FRB20150418A,FRB20190520B,7.192808628082275
FRB20150418A,FRB20190520B,7.951258659362793
FRB20150418A,FRB20190520B,8.075337409973145
FRB20150418A,FRB20190520B,8.167024612426758
FRB20190112A,FRB20191106C,0.6568538546562195
FRB20190112A,FRB20191106C,0.7992440462112427
FRB20190112A,FRB20190915D,1.187861680984497
FRB20190112A,FRB20191106C,1.2329177856445312
FRB20200917A,FRB20200926A,0.38403835892677307
FRB20200917A,FRB20190127B,0.5927728414535522
FRB20200917A,FRB20190208A,0.7244464159011841
FRB20200917A,FRB20200926A,0.7754563689231873
FRB20200917A,FRB20190222A,0.8485262989997864
FRB20200125A,FRB20180814A,0.12912002205848694
FRB20200125A,FRB20180814A,0.13283294439315796
FRB20200125A,FRB20190303A,0.1552942544221878
FRB20200125A,FRB20180814A,0.15776725113391876
FRB20200125A,FRB20200223B,0.1676560640335083
