Non-Repeater,Repeater,Score
FRB20180309A,FRB20220912A,4.210820198059082
FRB20180309A,FRB20240114A,5.5067138671875
FRB20150418A,FRB20190520B,7.012389183044434
FRB20150418A,FRB20190520B,7.956480026245117
FRB20150418A,FRB20121102A,8.503782272338867
FRB20150418A,FRB20190520B,8.707757949829102
FRB20150418A,FRB20190520B,8.816163063049316
FRB20190112A,FRB20191106C,0.769691526889801
FRB20190112A,FRB20190915D,1.0110962390899658
FRB20190112A,FRB20191106C,1.0182745456695557
FRB20190112A,FRB20190328C,1.0452245473861694
FRB20200917A,FRB20200926A,0.28939950466156006
FRB20200917A,FRB20190127B,0.4251863956451416
FRB20200917A,FRB20190208A,0.5343544483184814
FRB20200917A,FRB20181201D,0.71535724401474
FRB20200917A,FRB20181128A,0.7239435315132141
FRB20200125A,FRB20180814A,0.11346279829740524
FRB20200125A,FRB20180814A,0.11717303842306137
FRB20200125A,FRB20180814A,0.1479800045490265
FRB20200125A,FRB20200223B,0.16104847192764282
FRB20200125A,FRB20180908B,0.18871311843395233
