Non-Repeater,Repeater,Score
FRB20180309A,FRB20220912A,1.706297755241394
FRB20150418A,FRB20121102A,4.2441935539245605
FRB20150418A,FRB20190520B,4.563138961791992
FRB20150418A,FRB20190520B,5.220791816711426
FRB20150418A,FRB20190520B,5.727582931518555
FRB20150418A,FRB20190520B,5.847027778625488
FRB20190112A,FRB20191106C,0.48683497309684753
FRB20190112A,FRB20191106C,0.7951421737670898
FRB20190112A,FRB20190915D,0.9231255650520325
FRB20200917A,FRB20200926A,0.3242010474205017
FRB20200917A,FRB20190127B,0.5108721256256104
FRB20200917A,FRB20190208A,0.6939557790756226
FRB20200917A,FRB20200926A,0.7134105563163757
FRB20200125A,FRB20190303A,0.12872713804244995
FRB20200125A,FRB20180908B,0.13761644065380096
FRB20200125A,FRB20180814A,0.15034493803977966
FRB20200125A,FRB20180814A,0.15517261624336243
FRB20200125A,FRB20180814A,0.15517261624336243
