Non-Repeater,Repeater,Score
FRB20150418A,FRB20190520B,2.2185628414154053
FRB20150418A,FRB20220912A,2.319183349609375
FRB20150418A,FRB20190520B,2.4419522285461426
FRB20150418A,FRB20190520B,2.6055877208709717
FRB20150418A,FRB20190520B,2.6405282020568848
FRB20210408H,FRB20200926A,1.1225279569625854
FRB20190112A,FRB20190915D,0.8025063872337341
FRB20190112A,FRB20190328C,0.9878662824630737
FRB20190112A,FRB20191106C,1.0396428108215332
FRB20190112A,FRB20191106C,1.2341440916061401
FRB20200917A,FRB20200926A,0.3143976628780365
FRB20200917A,FRB20190127B,0.4646278917789459
FRB20200917A,FRB20190208A,0.7400022745132446
FRB20200917A,FRB20181017A,0.8386900424957275
FRB20200917A,FRB20181201D,0.8637097477912903
FRB20200125A,FRB20180814A,0.20417183637619019
FRB20200125A,FRB20180814A,0.20438124239444733
FRB20200125A,FRB20180814A,0.21064099669456482
FRB20200125A,FRB20200223B,0.21514366567134857
FRB20200125A,FRB20190303A,0.23225106298923492
