Non-Repeater,Repeater,Score
FRB20180309A,FRB20240114A,3.895134210586548
FRB20150418A,FRB20200120E,1.4309666156768799
FRB20150418A,FRB20180908B,1.435591459274292
FRB20150418A,FRB20200120E,1.4369349479675293
FRB20150418A,FRB20180814A,1.4430314302444458
FRB20150418A,FRB20180814A,1.4445321559906006
FRB20210408H,FRB20190520B,0.9042950868606567
FRB20210408H,FRB20190520B,0.9186016917228699
FRB20210408H,FRB20181017A,0.9201545119285583
FRB20210408H,FRB20200809E,1.0148223638534546
FRB20190112A,FRB20191106C,0.5766456723213196
FRB20190112A,FRB20190915D,0.8561422824859619
FRB20190112A,FRB20191106C,0.9206633567810059
FRB20200917A,FRB20200926A,0.33806362748146057
FRB20200917A,FRB20190127B,0.46894675493240356
FRB20200917A,FRB20200926A,0.547278642654419
FRB20200917A,FRB20200118D,0.6911044716835022
FRB20200125A,FRB20180814A,0.08807782083749771
FRB20200125A,FRB20180814A,0.0894819125533104
FRB20200125A,FRB20180814A,0.10010673105716705
FRB20200125A,FRB20200223B,0.12737232446670532
FRB20200125A,FRB20180908B,0.12867029011249542
