Non-Repeater,Repeater,Score
FRB20180309A,FRB20220912A,4.2800140380859375
FRB20150418A,FRB20121102A,4.978600978851318
FRB20150418A,FRB20190520B,5.996405601501465
FRB20150418A,FRB20190520B,6.7984466552734375
FRB20150418A,FRB20190520B,7.430107116699219
FRB20150418A,FRB20190520B,7.533496856689453
FRB20190112A,FRB20191106C,0.8672693967819214
FRB20190112A,FRB20191106C,0.9424248933792114
FRB20190112A,FRB20191106C,1.0054250955581665
FRB20190112A,FRB20190328C,1.1564501523971558
FRB20190112A,FRB20190915D,1.3154221773147583
FRB20200917A,FRB20200926A,0.37384364008903503
FRB20200917A,FRB20190208A,0.5301626324653625
FRB20200917A,FRB20190127B,0.5453623533248901
FRB20200917A,FRB20181128A,0.6913660764694214
FRB20200917A,FRB20181128A,0.6987122297286987
FRB20200125A,FRB20180814A,0.10619775950908661
FRB20200125A,FRB20200223B,0.10648265480995178
FRB20200125A,FRB20180814A,0.10658395290374756
FRB20200125A,FRB20180814A,0.10737670212984085
FRB20200125A,FRB20180814A,0.10772958397865295
