Non-Repeater,Repeater,Score
FRB20180309A,FRB20201124A,4.457674503326416
FRB20150418A,FRB20190520B,8.02352523803711
FRB20150418A,FRB20220912A,7.055833339691162
FRB20190112A,FRB20190915D,0.8427656292915344
FRB20190112A,FRB20191106C,1.1112241744995117
FRB20200917A,FRB20200926A,0.9557087421417236
FRB20200917A,FRB20190127B,0.6453467607498169
FRB20200917A,FRB20190208A,0.7550261616706848
FRB20200917A,FRB20181128A,0.9681040048599243
FRB20200125A,FRB20180814A,0.10737022757530212
FRB20200125A,FRB20200223B,0.11877400428056717
FRB20200125A,FRB20190303A,0.15112890303134918
