tns_name,previous_name,repeater_name,ra_1,ra_1_err_low,ra_1_err_up,ra_2,ra_2_err_low,ra_2_err_up,ra_notes,dec_1,dec_1_err_low,dec_1_err_up,dec_2,dec_2_err_low,dec_2_err_up,dec_notes,gl,gb,exp_up,exp_up_err,exp_up_notes,exp_low,exp_low_err,exp_low_notes,bonsai_snr,bonsai_dm,low_ft_90,up_ft_90,low_ft_95,up_ft_95,snr_fitb,dm_fitb,dm_fitb_err,dm_exc_1_ne2001,dm_exc_2_ne2001,dm_exc_1_ymw16,dm_exc_2_ymw16,bc_width,scat_time,scat_time_err,flux,flux_err,flux_notes,fluence,fluence_err,fluence_notes,sub_num,mjd_400,mjd_400_err,mjd_inf,mjd_inf_err,width_fitb,width_fitb_err,sp_idx,sp_idx_err,sp_run,sp_run_err,high_freq,low_freq,peak_freq,chi_sq,dof,flag_frac,R_cc
FRB20201130A,-9999,FRB20201130A,64.388,0.012,0.012,-9999,-9999,-9999,-9999,7.941,0.014,0.014,-9999,-9999,-9999,-9999,185.42,-29.04,15,11,-9999,-9999,-9999,-9999,9.3,287.1,-9999,10.4,-9999,13.2,12.83,288.27,-9999,231.8,-9999,219.6,-9999,0.00688,<0.0060,-9999,0.70,0.53,-9999,2.9,1.6,-9999,0,59183.319023181610000,0.000000000000051,59183.3189367396,0.0000000010,0.00298,0.00036,16.6,5.2,-17.9,5.6,800.2,462.9,627.5,337877.662,336066,46.021,5.3e-18
FRB20191106C,-9999,FRB20191106C,199.577,0.013,0.013,-9999,-9999,-9999,-9999,43.0025,0.0088,0.0088,-9999,-9999,-9999,-9999,105.7,73.22,65.6,2.9,-9999,-9999,-9999,-9999,9.36,331.6,-9999,1.9,-9999,2.4,19.83,333.057,0.027,308.0,-9999,312.5,-9999,0.01081,<0.010,-9999,0.177,0.056,-9999,1.48,0.26,-9999,0,58793.76042828448000,0.00000000000027,58793.76032854040000,0.00000000000032,0.00512,0.00045,10.5,2.3,-10.9,2.5,800.2,435.6,618.5,493027.006,500853,46.368,3.1e-13
FRB20200619A,-9999,FRB20200619A,272.57,0.12,0.12,-9999,-9999,-9999,-9999,55.558,0.058,0.058,-9999,-9999,-9999,-9999,83.96,27.77,109.7,6.1,-9999,-9999,-9999,-9999,11.48,438.3,-9999,2.5,-9999,3.1,18.36,439.440,0.031,388.5,-9999,394.6,-9999,0.00492,0.00066,0.00013,0.29,0.12,-9999,0.678,0.093,-9999,0,59019.34046587,0.00000011,59019.34033410,0.00000011,0.00072,0.00020,30.9,6.1,-158,29,498.1,400.2,441.4,352956.034,353963,43.146,4.3e-11
FRB20190804E,-9999,FRB20190804E,261.343,0.017,0.017,-9999,-9999,-9999,-9999,55.0689,0.0083,0.0083,-9999,-9999,-9999,-9999,82.89,34.11,93.7,4.1,-9999,-9999,-9999,-9999,33.61,360.7,-9999,1.9,-9999,2.3,90.49,362.68,-9999,319.3,-9999,326.1,-9999,0.02949,<0.0029,-9999,1.02,0.25,-9999,4.87,0.99,-9999,0,58699.192146107190000,0.000000000000046,58699.1920373523,0.0000000013,0.00500,0.00035,42.8,5.5,-156,20,534.1,410.8,468.4,463513.055,460378,50.702,5.2e-11
FRB20190804E,-9999,FRB20190804E,261.343,0.017,0.017,-9999,-9999,-9999,-9999,55.0689,0.0083,0.0083,-9999,-9999,-9999,-9999,82.89,34.11,93.7,4.1,-9999,-9999,-9999,-9999,33.61,360.7,-9999,1.9,-9999,2.3,90.49,362.68,-9999,319.3,-9999,326.1,-9999,0.02949,<0.0029,-9999,1.02,0.25,-9999,4.87,0.99,-9999,1,58699.1921462400100000,0.0000000000000048,58699.1920374851,0.0000000013,0.001433,0.000030,50.7,1.8,-288,10,477.5,400.2,436.3,463513.055,460378,50.702,5.2e-11
FRB20190915D,-9999,FRB20190915D,11.782,0.027,0.027,-9999,-9999,-9999,-9999,46.862,0.016,0.016,-9999,-9999,-9999,-9999,122.17,-16.0,92.5,1.2,-9999,-9999,-9999,-9999,31.56,485.2,-9999,11.3,-9999,14.1,44.74,488.864,0.039,399.4,-9999,400.4,-9999,0.01573,0.00483,0.00079,2.56,0.98,-9999,32,10,-9999,0,58741.38516951298000,0.00000000000015,58741.38502292003000,0.00000000000020,0.00499,0.00043,8.09,0.77,-13.0,1.0,800.2,400.2,546.8,853445.286,852143,45.251,3e-10
FRB20200929C,-9999,FRB20200929C,17.041,0.017,0.017,-9999,-9999,-9999,-9999,18.474,0.015,0.015,-9999,-9999,-9999,-9999,128.47,-44.22,55.7,2.0,-9999,-9999,-9999,-9999,10.37,407.6,-9999,5.5,-9999,7.8,44.78,413.54,-9999,375.1,-9999,384.1,-9999,0.03441,<0.0088,-9999,0.60,0.31,-9999,8.7,2.8,-9999,0,59121.35512026311000,0.00000000000011,59121.3549962571,0.0000000014,0.00500,0.00047,80,13,-166,25,569.6,453.2,508.1,625525.241,623417,49.933,1e-09
FRB20200929C,-9999,FRB20200929C,17.041,0.017,0.017,-9999,-9999,-9999,-9999,18.474,0.015,0.015,-9999,-9999,-9999,-9999,128.47,-44.22,55.7,2.0,-9999,-9999,-9999,-9999,10.37,407.6,-9999,5.5,-9999,7.8,44.78,413.54,-9999,375.1,-9999,384.1,-9999,0.03441,<0.0088,-9999,0.60,0.31,-9999,8.7,2.8,-9999,1,59121.355120358494000,0.000000000000059,59121.3549963525,0.0000000014,0.00441,0.00026,70.2,7.4,-190,22,547.5,428.9,484.6,625525.241,623417,49.933,1e-09
FRB20201221B,-9999,FRB20201221B,124.199,0.026,0.026,-9999,-9999,-9999,-9999,48.781,0.017,0.017,-9999,-9999,-9999,-9999,170.55,33.81,90.3,1.6,-9999,-9999,-9999,-9999,10.34,509.9,-9999,3.4,-9999,4.6,11.71,510.37,-9999,459.5,-9999,464.4,-9999,0.00295,<0.0026,-9999,0.38,0.22,-9999,0.91,0.39,-9999,0,59204.424753173,0.000000013,59204.424600131,0.000000013,0.00132,0.00016,37.0,9.4,-144,36,535.7,400.2,451.3,374535.458,374180,39.899,8.3e-07
FRB20200809E,-9999,FRB20200809E,19.96,0.10,0.10,-9999,-9999,-9999,-9999,82.892,0.016,0.016,-9999,-9999,-9999,-9999,123.86,20.07,509.8,2.4,-9999,410,26,-9999,21.19,1698.4,6.1,2.5,7.3,3.1,30.93,1702.89,-9999,1629.2,-9999,1619.7,-9999,0.01081,<0.0059,-9999,1.22,0.77,-9999,7.0,3.8,-9999,0,59070.492372133485000,0.000000000000020,59070.4918614970,0.0000000059,0.00293,0.00014,0.2,3.0,-96,28,466.5,400.2,400.2,347919.301,348036,44.098,2.8e-06
FRB20190609C,-9999,FRB20190609C,73.324,0.012,0.012,-9999,-9999,-9999,-9999,24.0678,0.0065,0.0065,-9999,-9999,-9999,-9999,177.36,-12.39,71.95,0.43,-9999,-9999,-9999,-9999,10.96,480.4,-9999,2.1,-9999,2.6,17.1,480.282,0.096,366.9,-9999,326.7,-9999,0.00393,<0.0041,-9999,0.64,0.21,-9999,1.91,0.43,-9999,0,58643.818858236170000,0.000000000000058,58643.81871421661000,0.00000000000034,0.00207,0.00025,15.2,5.4,-138,36,481.3,400.2,422.9,323294.49,324438,47.888,4.8e-06
