[I 2026-09-11 12:21:07,189] A new study created in RDB with name: chime_first_svae_opt
[I 2026-09-11 12:21:26,686] Trial 0 finished with value: 0.9052631578947369 and parameters: {'hidden_dim': 732, 'latent_dim': 35, 'beta': 1.0184155757968854, 'gamma': 0.5302803202564692, 'dropout_rate': 0.11028123820208956, 'lr': 0.004280782555533223, 'scheduler_patience': 7, 'class_weight': 0.619272470716959, 'activation': 'GELU', 'classification_multiplier': 6513.680683291593}. Best is trial 0 with value: 0.9052631578947369.
[I 2026-09-11 12:21:44,024] Trial 1 finished with value: 0.912280701754386 and parameters: {'hidden_dim': 1064, 'latent_dim': 18, 'beta': 0.2213988178282624, 'gamma': 0.6301827763802359, 'dropout_rate': 0.25625172880789515, 'lr': 0.005082394187965183, 'scheduler_patience': 5, 'class_weight': 0.5441969541261481, 'activation': 'GELU', 'classification_multiplier': 13621.174908492418}. Best is trial 1 with value: 0.912280701754386.
[I 2026-09-11 12:22:01,329] Trial 2 finished with value: 0.9175438596491228 and parameters: {'hidden_dim': 908, 'latent_dim': 39, 'beta': 0.89425090958835, 'gamma': 0.14978224616352542, 'dropout_rate': 0.14538570174698032, 'lr': 0.005999886218962207, 'scheduler_patience': 4, 'class_weight': 0.5517930903244385, 'activation': 'SELU', 'classification_multiplier': 13735.562021851809}. Best is trial 2 with value: 0.9175438596491228.
[I 2026-09-11 12:22:18,449] Trial 3 finished with value: 0.9245614035087719 and parameters: {'hidden_dim': 786, 'latent_dim': 9, 'beta': 1.4962601112749279, 'gamma': 1.5061375016129932, 'dropout_rate': 0.2546710396482669, 'lr': 0.004710128249474476, 'scheduler_patience': 3, 'class_weight': 0.7721556175858253, 'activation': 'ELU', 'classification_multiplier': 9892.752518411311}. Best is trial 3 with value: 0.9245614035087719.
[I 2026-09-11 12:22:35,640] Trial 4 finished with value: 0.9175438596491228 and parameters: {'hidden_dim': 775, 'latent_dim': 35, 'beta': 1.6296733466020579, 'gamma': 1.8767617506677285, 'dropout_rate': 0.32718581381381046, 'lr': 0.006241575267016552, 'scheduler_patience': 7, 'class_weight': 0.8858454352289897, 'activation': 'SELU', 'classification_multiplier': 11133.566829679312}. Best is trial 3 with value: 0.9245614035087719.
[I 2026-09-11 12:22:52,539] Trial 5 finished with value: 0.9157894736842106 and parameters: {'hidden_dim': 228, 'latent_dim': 13, 'beta': 1.8370900082820492, 'gamma': 0.22303790111130944, 'dropout_rate': 0.1230672460833874, 'lr': 0.008937757009324492, 'scheduler_patience': 6, 'class_weight': 0.3181759283539066, 'activation': 'GELU', 'classification_multiplier': 14521.309385827071}. Best is trial 3 with value: 0.9245614035087719.
[I 2026-09-11 12:23:10,260] Trial 6 finished with value: 0.9157894736842106 and parameters: {'hidden_dim': 1334, 'latent_dim': 38, 'beta': 1.506946678890249, 'gamma': 1.3732912137266085, 'dropout_rate': 0.2181383038010287, 'lr': 0.00813906206315049, 'scheduler_patience': 7, 'class_weight': 0.9821967901538758, 'activation': 'ELU', 'classification_multiplier': 13306.094486375649}. Best is trial 3 with value: 0.9245614035087719.
[I 2026-09-11 12:23:27,586] Trial 7 finished with value: 0.8947368421052632 and parameters: {'hidden_dim': 925, 'latent_dim': 34, 'beta': 0.5648125198570124, 'gamma': 0.6661450243366545, 'dropout_rate': 0.11222223091477589, 'lr': 0.0017594396248010557, 'scheduler_patience': 2, 'class_weight': 0.3263894261607173, 'activation': 'ReLU', 'classification_multiplier': 8195.690930715928}. Best is trial 3 with value: 0.9245614035087719.
[I 2026-09-11 12:23:44,656] Trial 8 finished with value: 0.9105263157894737 and parameters: {'hidden_dim': 670, 'latent_dim': 10, 'beta': 1.925896418112542, 'gamma': 1.5337390470905823, 'dropout_rate': 0.15594900671695522, 'lr': 0.0009009496063416093, 'scheduler_patience': 5, 'class_weight': 0.14779801094125952, 'activation': 'LeakyReLU', 'classification_multiplier': 7930.747258882815}. Best is trial 3 with value: 0.9245614035087719.
[I 2026-09-11 12:24:01,505] Trial 9 finished with value: 0.9228070175438597 and parameters: {'hidden_dim': 251, 'latent_dim': 11, 'beta': 1.749133564508993, 'gamma': 1.9944411065762155, 'dropout_rate': 0.4188551974375633, 'lr': 0.004492328711554366, 'scheduler_patience': 5, 'class_weight': 0.35482691515750453, 'activation': 'ELU', 'classification_multiplier': 9875.987346598664}. Best is trial 3 with value: 0.9245614035087719.
[I 2026-09-11 12:24:20,767] Trial 10 finished with value: 0.9210526315789473 and parameters: {'hidden_dim': 2013, 'latent_dim': 23, 'beta': 1.2644855474999814, 'gamma': 1.1093424701001713, 'dropout_rate': 0.4907682962221056, 'lr': 0.00308067844167916, 'scheduler_patience': 2, 'class_weight': 0.766473055909609, 'activation': 'ELU', 'classification_multiplier': 11218.886824365072}. Best is trial 3 with value: 0.9245614035087719.
