,Dynamic Spectral,PulseID,Source,Telescope,Date,Repeater,Receiver,Observing_band,MJD,GL,GB,SNR,DM_SNR,DM_SNR_err,DM_alig,DM_alig_err,Flux_density,Flux_density_err,Width,Width_err,Freq_high,Freq_low,Freq_peak,Fluence,Fluence_err,Energy,Energy_err,Polar_l,Polar_l_err,Polar_c,Polar_c_err,RM_syn,RM_syn_err,RM_QUfit,RM_QUfit_err,Scatt_t,Scatt_t_err,Scin_f,Scin_f_err,Reference,UMAP_cluster
3173,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190517c_3571.jpg,3571,FRB20190517C,CHIME,,0.0,,400-800,58620.9212305871,182.48,-0.37,58.3,335.5746,+0.0043/-0.0043,,,3.1,+1.2/-1.2,1.97,,539.4,400.2,435.5,8.7,+2.8/-2.8,,,,,,,,,,,0.149,+0.012/-0.012,,,https://www.chime-frb.ca/catalog,1
3408,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190625c_3642.jpg,3642,FRB20190625C,CHIME,,0.0,,400-800,58659.7751895579,188.2,-20.14,21.1,442.2388,+0.0043/-0.0043,,,2.22,+0.59/-0.59,0.98,,768.7,400.2,410.7,4.02,+0.83/-0.83,,,,,,,,,,,<0.63,,,,https://www.chime-frb.ca/catalog,1
3401,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190614b_3620.jpg,3620,FRB20190614B,CHIME,,0.0,,400-800,58648.5286848393,82.65,-25.4,54.8,581.9146,+0.0013/-0.0013,,,4.5,+1.6/-1.6,1.97,,800.2,400.2,463.9,8.4,+2.8/-2.8,,,,,,,,,,,<0.68,,,,https://www.chime-frb.ca/catalog,1
5313,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20000925a_5574.png,5574,FRB20000925A,Parkes,,0.0,13 beam,1230-1518,51812.7695647,281.0488,-33.9843,7.5,206.6,,,,,,20.15,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stab2275,0
3223,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190224a_3443.jpg,3443,FRB20190224A,CHIME,,0.0,,400-800,58538.095049331,128.22,22.58,28.6,818.4,+0.09/-0.09,,,0.63,+0.32/-0.32,16.71,,497.5,400.2,408.9,8.5,+3.1/-3.1,,,,,,,,,,,5.77,+0.75/-0.75,,,https://www.chime-frb.ca/catalog,1
3057,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20170416a_3136.png,3136,FRB20170416A,ASKAP,,0.0,PAF,1152-1488,57859.966548604,337.62,-50.05,13.0,523.2,+0.2/-0.2,,,19.4,,5,+0.6/-0.6,,,,97,+2/-2,,,,,,,,,,,,,,,https://doi.org/10.1038/s41586-018-0588-y,0
5346,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb19990511b_5607.png,5607,FRB19990511B,Parkes,,0.0,13 beam,1230-1518,51309.64295752,308.9706,-10.69,7.7,410.0,,,,,,10.08,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stab2275,0
3345,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190605c_3602.jpg,3602,FRB20190605C,CHIME,,0.0,,400-800,58639.097709306,262.97,49.91,47.5,187.6421,+0.0023/-0.0023,187.713,+0.005/-0.005,4.6,+1.5/-1.5,0.98,,573.9,400.2,452.2,4.4,+1.5/-1.5,,,31.9,+0.7/-0.7,,,-64.68,+0.09/-0.09,-0.1,+0.04/-0.04,<0.52,,,,"[https://www.chime-frb.ca/catalog, https://arxiv.org/abs/2401.17378]",1
3000,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20181218c_3298.jpg,3298,FRB20181218C,CHIME,,0.0,,400-800,58470.885965584,88.61,21.24,13.5,384.153,+0.099/-0.099,,,0.25,+0.17/-0.17,4.92,,718.5,400.2,472.7,1.73,+0.73/-0.73,,,,,,,,,,,<6.8,,,,https://www.chime-frb.ca/catalog,1
3117,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20181129b_3270.jpg,3270,FRB20181129B,CHIME,,0.0,,400-800,58451.481558154,114.35,23.24,25.7,405.905,+0.0049/-0.0049,,,4,+3/-3,1.97,,642.7,482.3,556.8,9.5,+6.3/-6.3,,,,,,,,,,,0.83,+0.12/-0.12,,,https://www.chime-frb.ca/catalog,1
3182,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20181119c_3255.jpg,3255,FRB20181119C,CHIME,,0.0,,400-800,58441.7127515106,123.39,34.96,40.7,284.9594,+0.0025/-0.0025,,,2.8,+1.3/-1.3,0.98,,657.7,400.2,400.2,3.5,+1.6/-1.6,,,,,,,,,,,<0.48,,,,https://www.chime-frb.ca/catalog,1
3425,,3693,FRB20220105A,ASKAP,,0.0,Band 3,1632.5,59584.01341053,18.84,74.68,10.0,583.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wis-tns.org/object/20220105a,0
3180,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20181022d_3234.jpg,3234,FRB20181022D,CHIME,,0.0,,400-800,58413.7454945557,170.49,75.08,52.1,514.33426,+0.00093/-0.00093,,,2.9,+1.3/-1.3,1.97,,800.2,505.7,754.7,6.2,+2.8/-2.8,,,,,,,,,,,<0.63,,,,https://www.chime-frb.ca/catalog,1
